Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
,Thailand,15.0,101.0,61,62,56,57,56,55,49,49,52,50,55,56,56,56,54,55,54,46,48,50,51,53,60,60,65,56,54,56,55,53,48,51,45,51,60,59,61,57,44,45,50,47,54,63,60,46,51,47,46,48,48,44,43,45,40,35,43,38,46,64,62,65,64,59,71,70,63,50,47,45,45,48,52,54,71,68,61,64,59
,Japan,36.0,138.0,62,68,70,68,68,72,84,86,68,79,67,76,68,62,72,61,70,72,64,64,60,60,95,77,69,73,81,89,86,76,68,66,61,66,60,62,52,49,67,61,57,63,52,85,76,66,89,70,56,61,66,68,85,54,54,77,92,70,57,74,80,74,64,70,62,60,67,90,74,96,64,54,55,90,71,62,55,68,65
,Singapore,1.2833,103.8333,82,91,90,88,86,87,92,88,89,88,86,86,83,82,86,86,83,88,88,87,95,88,86,80,81,84,87,88,96,88,82,84,86,79,79,82,80,79,77,93,93,93,90,87,87,84,86,83,87,82,84,89,86,84,91,84,82,81,81,78,80,83,83,84,93,87,89,86,85,86,86,83,83,84,83,82,78,82,81
,Nepal,28.1667,84.25,43,56,82,81,76,65,78,76,75,66,67,71,68,54,50,69,96,67,61,56,59,55,61,68,66,77,78,65,59,64,64,69,71,62,64,60,63,56,59,52,50,57,66,68,68,65,71,72,67,67,66,70,63,60,57,78,86,72,57,56,59,67,65,67,57,61,83,57,54,59,56,41,52,70,67,50,46,62,65
,Malaysia,2.5,112.5,95,96,93,97,93,94,90,92,95,98,96,99,95,97,94,95,98,95,95,93,91,91,95,94,91,95,96,90,98,97,87,84,88,97,100,100,92,86,86,97,94,89,87,92,97,94,94,100,94,98,93,95,93,92,95,98,99,96,99,95,99,94,99,93,99,93,90,87,96,95,92,94,95,95,88,90,97,94,93
British Columbia,Canada,49.2827,-123.1207,98,86,86,87,83,86,95,97,75,82,97,84,90,69,66,83,83,80,94,96,92,91,95,99,94,93,89,89,92,96,89,98,81,86,85,96,96,96,96,83,81,84,91,89,92,85,97,85,82,77,70,74,72,90,89,72,83,91,92,92,82,85,97,92,72,83,76,82,79,74,84,79,76,56,33,41,56,68,66
New South Wales,Australia,-33.8688,151.2093,78,77,86,64,74,80,87,87,87,82,79,80,74,81,80,86,97,95,91,90,69,79,51,74,89,87,89,86,82,79,84,71,85,78,68,69,81,97,97,99,93,89,98,96,81,84,85,93,84,59,68,74,83,72,78,77,68,72,65,70,81,63,80,89,92,89,81,78,80,74,72,70,72,87,80,83,77,76,70
Victoria,Australia,-37.8136,144.9631,56,57,54,42,69,84,80,69,66,59,70,67,56,56,54,76,66,68,74,85,70,49,75,56,59,74,69,67,62,30,25,81,66,60,55,67,73,80,68,62,75,83,82,70,76,90,75,70,86,79,73,71,66,70,77,71,66,59,70,71,60,65,65,75,93,80,72,71,69,70,63,46,52,57,67,62,55,42,48
Queensland,Australia,-28.0167,153.4,79,82,76,75,77,80,81,76,77,80,84,93,74,89,88,87,87,97,94,89,83,85,91,91,95,86,81,86,85,81,77,77,79,78,93,86,99,97,96,96,90,94,98,99,89,90,87,84,84,85,81,83,75,79,90,91,92,89,86,83,78,79,81,89,79,88,86,78,94,91,74,79,77,75,78,71,73,72,72
,Cambodia,11.55,104.9167,55,56,57,57,54,57,60,65,56,60,69,72,63,53,63,60,57,65,63,62,61,61,61,56,65,65,64,63,67,76,69,62,54,56,59,56,57,53,57,51,53,57,60,61,60,64,63,68,54,47,48,49,46,42,43,54,55,55,53,54,59,62,57,62,63,65,61,64,61,61,63,56,56,56,56,55,53,55,56
