Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
,Thailand,15.0,101.0,33,33,35,34,34,35,36,36,36,37,36,36,35,36,36,36,36,36,36,34,36,37,36,37,35,35,35,35,35,33,33,34,35,36,35,35,35,37,37,35,34,36,37,37,36,37,38,35,33,34,36,35,35,35,36,38,38,37,36,34,36,35,36,37,33,34,36,38,39,40,40,39,40,40,33,36,38,37,37
,Japan,36.0,138.0,6,8,8,7,5,5,5,9,6,5,9,7,8,9,6,6,5,3,6,8,6,10,7,12,5,7,3,7,12,8,4,7,7,8,8,5,0,5,5,2,4,7,12,15,13,13,11,7,2,8,9,12,9,6,13,10,8,4,8,12,12,13,12,10,4,9,12,8,19,11,11,13,14,4,7,4,11,13,16
,Singapore,1.2833,103.8333,31,30,30,30,31,30,29,31,31,31,30,31,31,32,31,31,32,31,31,31,29,31,31,32,32,31,31,31,29,31,31,31,31,31,31,31,32,32,31,29,30,30,30,32,32,31,31,32,30,31,31,31,31,31,30,31,32,32,32,32,32,32,32,32,30,31,32,32,32,32,31,33,32,32,32,32,32,32,32
,Nepal,28.1667,84.25,21,22,14,18,18,20,20,19,20,20,21,22,23,24,24,19,15,21,20,21,20,22,20,20,20,16,19,22,23,22,22,20,20,21,22,21,20,22,19,21,22,23,24,25,23,24,23,23,25,23,24,20,25,26,25,22,20,24,25,25,26,26,25,25,25,24,20,25,27,27,28,29,23,26,26,26,28,28,28
,Malaysia,2.5,112.5,28,28,28,27,29,29,28,30,29,27,27,26,28,27,30,29,26,29,29,29,30,29,28,28,30,29,29,31,27,28,29,30,30,26,26,25,28,30,30,27,27,29,31,29,27,29,30,24,28,27,30,29,29,29,27,29,27,28,26,28,28,30,28,29,25,27,30,31,29,30,32,28,31,29,31,30,28,29,30
British Columbia,Canada,49.2827,-123.1207,8,10,6,11,7,7,5,9,6,4,4,6,4,-2,-3,-1,3,3,5,7,8,8,7,9,10,9,10,8,9,9,8,11,9,5,5,1,4,6,7,8,5,7,8,8,7,9,7,7,7,7,8,9,9,7,8,7,6,8,9,8,9,7,6,8,9,8,8,7,7,8,6,9,8,8,5,8,11,12,12
New South Wales,Australia,-33.8688,151.2093,24,25,28,37,25,23,28,26,25,29,22,22,25,26,27,29,22,22,24,28,29,29,38,27,28,32,28,29,26,28,30,35,29,31,22,25,25,21,22,22,26,28,25,25,25,26,25,25,29,27,23,24,23,25,26,27,31,24,24,26,28,33,23,25,25,26,23,22,22,23,24,24,24,18,20,21,23,25,29
Victoria,Australia,-37.8136,144.9631,25,26,32,27,17,20,23,25,31,33,18,21,31,32,34,19,24,28,28,22,23,31,21,23,26,24,23,25,29,38,41,31,23,17,21,21,26,26,29,27,24,26,26,30,31,21,25,27,21,18,18,19,23,30,26,30,18,21,21,24,31,18,21,24,19,19,20,21,21,23,28,29,28,17,20,26,27,28,31
Queensland,Australia,-28.0167,153.4,29,30,29,30,31,30,29,30,30,30,30,25,27,27,28,27,28,26,28,31,33,32,30,31,29,29,29,29,32,30,30,31,31,33,25,25,23,26,27,27,29,28,27,26,29,30,31,30,31,32,30,28,27,27,26,27,29,29,29,28,29,31,30,28,29,30,29,27,23,24,26,25,26,26,26,25,26,26,27
,Cambodia,11.55,104.9167,34,33,33,33,33,34,33,34,34,35,33,33,33,33,33,34,34,33,33,33,34,34,34,34,34,34,33,34,33,29,31,33,33,34,34,34,33,35,34,32,31,34,35,35,35,35,36,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,34,36,37,37,38,36,37,37,37,37,36,37,36,36
