Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
,Thailand,15.0,101.0,22,21,20,19,19,19,18,20,20,24,22,21,22,21,22,22,21,21,22,21,21,22,23,22,22,20,20,19,19,19,17,19,20,22,21,21,22,21,22,20,22,23,23,24,22,20,20,19,20,19,20,20,20,19,17,19,18,23,24,23,25,23,24,22,23,23,24,24,23,24,25,25,26,24,24,25,24,26,25
,Japan,36.0,138.0,-5,-5,-4,-5,-7,-3,2,0,-1,-5,-4,-2,-3,-1,-5,-5,-2,-4,-1,-1,-5,0,0,-2,-2,-4,-1,1,0,-5,-8,-6,-5,-6,-5,-9,-12,-5,-7,-10,-9,-6,1,-2,-3,0,3,-4,-8,-4,-2,0,0,-5,-3,1,-4,-8,-3,0,0,-3,0,1,-7,-5,0,-2,4,5,-3,-3,0,-5,-4,-9,0,-2,1
,Singapore,1.2833,103.8333,24,25,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,25,24,24,24,25,24,24,25,25,24,24,25,25,24,25,24,24,25,25,24,24,24,25,25,25,25,24,25,24,25,25,24,24,24,24,24,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,25,26,26,26,25,25,25,25
,Nepal,28.1667,84.25,10,9,7,7,7,7,9,10,8,8,9,9,10,10,12,11,10,7,8,9,9,9,9,9,9,8,9,10,8,7,9,7,8,9,9,8,7,8,7,7,8,9,10,11,11,11,12,11,11,12,12,10,11,10,11,11,9,11,11,11,11,11,13,12,12,11,9,11,12,12,12,15,12,11,10,11,13,12,12
,Malaysia,2.5,112.5,20,21,21,21,20,21,21,22,22,21,21,21,21,21,22,21,20,21,21,21,22,22,21,21,22,21,21,22,21,20,20,21,22,22,21,21,20,19,22,20,20,21,22,21,21,20,20,20,21,21,22,21,21,21,21,21,20,22,21,22,21,21,20,20,21,21,20,21,21,21,22,22,21,21,22,20,21,21,21
British Columbia,Canada,49.2827,-123.1207,7,3,2,4,5,2,4,3,0,0,3,1,-6,-6,-6,-3,-1,1,4,5,6,5,5,8,5,6,5,5,6,4,5,7,0,0,0,0,3,2,2,0,0,2,3,3,3,3,2,0,0,0,0,1,4,3,2,2,3,5,4,3,1,2,4,3,4,1,1,0,0,2,4,1,2,-1,-2,0,1,2,2
New South Wales,Australia,-33.8688,151.2093,19,21,20,20,19,20,21,20,21,19,18,18,19,19,21,20,20,19,19,18,20,21,23,22,22,21,22,21,20,22,23,24,22,17,18,20,19,19,19,20,20,21,21,20,17,20,20,20,20,18,18,18,19,18,20,22,18,17,19,19,19,20,19,21,20,19,17,16,16,16,17,15,17,15,16,16,14,15,18
Victoria,Australia,-37.8136,144.9631,13,13,21,14,11,15,16,16,22,14,14,12,16,20,16,13,14,16,18,13,14,14,12,14,15,13,13,15,17,22,23,14,14,12,11,12,17,17,18,18,18,18,19,20,18,17,15,17,13,12,12,11,12,16,17,15,10,14,13,13,14,13,11,16,15,14,12,11,10,12,17,19,12,11,9,13,19,19,15
Queensland,Australia,-28.0167,153.4,21,20,20,20,21,22,22,21,22,23,22,22,21,21,22,22,21,21,23,24,23,25,25,24,23,23,22,23,23,24,23,22,23,24,21,21,21,22,22,22,23,23,22,22,22,23,23,23,25,24,22,22,22,22,21,21,23,21,22,21,21,22,23,23,24,22,22,22,19,20,20,19,19,19,19,19,19,19,18
,Cambodia,11.55,104.9167,22,23,21,20,19,21,23,22,22,23,22,22,20,19,20,20,21,21,20,21,21,22,21,21,21,22,20,21,22,20,19,19,18,19,20,19,19,18,23,22,21,23,21,23,22,22,23,22,21,21,21,21,21,21,19,21,22,21,22,22,23,23,23,22,22,23,23,24,24,24,23,24,24,23,24,23,24,24,23
,Sri Lanka,7.0,81.0,18,19,17,16,17,17,18,14,13,15,18,15,13,13,12,16,17,16,19,18,19,19,19,16,16,14,13,13,13,13,13,15,16,16,18,17,16,14,13,13,16,19,19,18,17,16,17,12,12,16,19,19,17,18,18,16,14,15,15,17,17,16,16,16,16,18,16,16,15,14,15,14,15,15,17,18,19,18,16
,Germany,51.0,9.0,-4,-1,0,0,-2,-1,1,5,6,0,0,3,3,6,3,2,2,0,0,-4,-5,-2,-3,-3,-1,0,3,1,1,4,8,4,6,2,0,-2,-2,-2,0,5,1,0,0,2,0,5,5,3,3,1,1,2,6,0,6,0,0,-1,1,3,1,2,-1,0,3,1,1,4,2,9,8,3,0,2,1,5,2,4,5
,Finland,64.0,26.0,2,2,-1,-8,-5,-1,1,0,-2,-3,0,-2,-1,0,0,0,0,0,-4,2,-2,-6,-1,-3,-6,-13,-9,-5,-4,-5,-7,-3,-7,-10,-10,-11,-13,-5,0,1,1,0,0,-3,-4,0,2,1,0,-8,-5,1,0,-1,-7,-10,-12,-14,-14,-9,-8,-9,-8,-3,-3,-4,-6,1,1,0,0,-1,-8,-9,0,-3,0,-3,-9
,United Arab Emirates,24.0,54.0,16,16,17,20,19,15,14,14,17,16,13,14,11,14,11,11,12,12,14,15,11,15,17,14,13,15,13,10,10,10,8,13,14,12,11,12,13,13,18,18,18,15,12,11,11,11,12,14,12,16,18,18,18,18,19,22,18,14,14,13,14,17,14,14,14,13,14,15,14,13,12,13,18,20,20,19,20,23,21
,Philippines,13.0,122.0,25,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,25,24,23,23,23,23,23,23,24,24,25,24,24,23,23,23,24,25,24,24,24,23,23,24,24,23,24,24,24,24,24,24,24,24,24,25,24,24,24,25,25,25,25,25,25,25,25,25,24,24,25,24
,India,21.0,78.0,15,15,15,13,10,12,17,16,11,7,9,13,13,16,17,16,14,16,14,14,18,18,16,16,14,14,17,15,13,11,12,13,14,16,18,17,16,16,13,12,14,16,16,16,15,16,16,14,13,16,21,20,20,19,16,14,14,17,16,17,19,18,17,16,16,16,16,20,20,21,20,21,20,16,18,18,21,20,18
,Italy,43.0,12.0,-1,-1,3,2,-1,-1,0,0,-1,0,2,-2,1,0,0,0,4,2,4,1,0,0,0,6,5,2,5,7,2,5,8,9,8,6,2,2,-3,-2,0,7,9,4,1,6,0,0,0,2,2,1,-1,0,0,3,6,7,-1,7,-1,8,5,5,0,0,8,3,4,0,1,1,4,4,6,5,0,1,2,3,3
,Sweden,63.0,16.0,3,2,-2,-5,-1,0,0,0,-6,-7,0,-3,-3,-2,-3,-1,0,-3,0,0,0,-1,-1,-2,-1,-2,0,-2,0,-1,0,-1,-5,-11,-7,-6,-8,-5,0,0,-2,-9,-7,-8,-7,-5,0,0,-2,-8,0,1,-1,-2,-10,-12,-14,-12,-10,-11,-8,-7,-5,-6,-7,-10,-3,1,-6,0,-3,-5,-8,-3,-4,-3,-2,0,-8
